0;0;0;0;land;false;unknown;0
1;80;245;176;land;false;plains;1
2;176;148;229;land;false;plains;1
3;113;154;241;land;true;plains;1
4;120;248;160;land;true;plains;1
5;243;248;32;land;true;plains;1
6;218;189;233;land;false;plains;1
7;242;243;77;land;false;plains;1
8;246;94;247;land;true;plains;1
9;246;169;180;land;false;plains;1
10;87;172;252;land;false;plains;1
11;178;225;210;land;true;plains;1
12;208;127;236;land;false;plains;1
13;222;218;216;land;true;plains;1
14;210;188;254;land;true;plains;1
15;116;221;176;land;false;plains;1
16;237;133;134;land;false;plains;1
17;110;233;184;land;true;plains;1
18;194;89;236;land;false;plains;1
19;121;197;195;land;false;plains;1
20;99;254;170;land;false;plains;1
21;181;196;248;land;false;plains;1
22;199;177;195;land;true;plains;1
23;244;124;230;land;false;plains;1
24;158;200;189;land;false;plains;1
25;207;157;176;land;true;plains;1
26;248;235;83;land;true;plains;1
27;122;134;247;land;false;plains;1
28;133;223;246;land;false;plains;1
29;242;245;47;land;false;plains;1
30;246;169;92;land;false;plains;1
31;157;189;240;land;false;plains;1
32;226;78;240;land;false;plains;1
33;157;140;217;land;false;plains;1
34;206;163;199;land;false;plains;1
35;253;216;85;land;true;plains;1
36;190;172;244;land;false;plains;1
37;221;236;147;land;true;plains;1
38;234;137;158;land;true;plains;1
39;245;194;125;land;false;plains;1
40;121;219;162;land;true;plains;1
41;224;192;112;land;false;plains;1
42;195;174;229;land;false;plains;1
43;252;178;182;land;true;plains;1
44;162;185;249;land;false;plains;1
45;161;169;209;land;true;plains;1
46;141;224;150;land;true;plains;1
47;195;149;201;land;false;plains;1
48;212;238;68;land;false;plains;1
49;112;253;205;land;false;plains;1
50;239;157;107;land;false;plains;1
51;236;235;145;land;false;plains;1
52;134;188;193;land;false;plains;1
53;219;158;149;land;true;plains;1
54;180;109;250;land;false;plains;1
55;137;248;159;land;false;plains;1
56;211;138;217;land;false;plains;1
57;249;199;175;land;false;plains;1
58;233;152;188;land;true;plains;1
59;222;67;224;land;true;plains;1
60;248;95;177;land;true;plains;1
61;137;251;140;land;false;plains;1
62;238;239;127;land;false;plains;1
63;143;227;249;land;true;plains;1
64;206;197;227;land;false;plains;1
65;144;229;236;land;false;plains;1
66;162;151;224;land;false;plains;1
67;102;243;237;land;false;plains;1
68;211;186;206;land;true;plains;1
69;170;162;222;land;true;plains;1
70;109;247;184;land;true;plains;1
71;131;212;210;land;true;plains;1
72;236;117;166;land;true;plains;1
73;251;232;123;land;false;plains;1
74;109;237;252;land;false;plains;1
75;122;204;209;land;true;plains;1
76;232;244;132;land;false;plains;1
77;250;178;232;land;false;plains;1
78;191;204;184;land;true;plains;1
79;239;160;227;land;false;plains;1
80;190;230;147;land;true;plains;1
81;182;196;164;land;true;plains;1
82;153;175;220;land;false;plains;1
83;195;220;103;land;false;plains;1
84;238;184;253;land;false;plains;1
85;251;170;214;land;false;plains;1
86;238;151;126;land;true;plains;1
87;169;233;133;land;true;plains;1
88;94;185;231;land;true;plains;1
89;155;159;230;land;true;plains;1
90;233;136;186;land;true;plains;1
91;234;84;214;land;false;plains;1
92;213;228;215;land;true;plains;1
93;109;183;241;land;true;plains;1
94;189;104;218;land;false;plains;1
95;170;220;179;land;true;plains;1
96;179;209;175;land;false;plains;1
97;163;95;249;land;true;plains;1
98;112;228;227;land;true;plains;1
99;198;247;115;land;false;plains;1
100;146;218;237;land;false;plains;1
101;50;243;230;land;true;plains;1
102;235;235;117;land;true;plains;1
103;228;197;213;land;true;plains;1
104;237;125;227;land;false;plains;1
105;229;129;177;land;false;plains;1
106;172;179;245;land;false;plains;1
107;187;175;249;land;false;plains;1
108;140;185;180;land;false;plains;1
109;252;196;82;land;true;plains;1
